state,date,value
Perlis,2000-01-01,84
Perlis,2001-01-01,84
Perlis,2002-01-01,88
Perlis,2003-01-01,92
Perlis,2004-01-01,93
Perlis,2005-01-01,92
Perlis,2006-01-01,95
Perlis,2007-01-01,97
Perlis,2008-01-01,108
Perlis,2009-01-01,109
Perlis,2010-01-01,147
Perlis,2011-01-01,191
Perlis,2012-01-01,211
Perlis,2013-01-01,206
Perlis,2014-01-01,208
Perlis,2015-01-01,220
Perlis,2016-01-01,243
Perlis,2017-01-01,228
Perlis,2018-01-01,234
Perlis,2019-01-01,252
Perlis,2020-01-01,243
Perlis,2021-01-01,236
Perlis,2022-01-01,243
Pulau Pinang,2000-01-01,741
Pulau Pinang,2001-01-01,763
Pulau Pinang,2002-01-01,767
Pulau Pinang,2003-01-01,759
Pulau Pinang,2004-01-01,800
Pulau Pinang,2005-01-01,819
Pulau Pinang,2006-01-01,840
Pulau Pinang,2007-01-01,865
Pulau Pinang,2008-01-01,896
Pulau Pinang,2009-01-01,913
Pulau Pinang,2010-01-01,957
Pulau Pinang,2011-01-01,951
Pulau Pinang,2012-01-01,964
Pulau Pinang,2013-01-01,988
Pulau Pinang,2014-01-01,995
Pulau Pinang,2015-01-01,1014
Pulau Pinang,2016-01-01,1054
Pulau Pinang,2017-01-01,1058
Pulau Pinang,2018-01-01,1073
Pulau Pinang,2019-01-01,1093
Pulau Pinang,2020-01-01,1108
Pulau Pinang,2021-01-01,1126
Pulau Pinang,2022-01-01,1178
Sabah,2000-01-01,706
Sabah,2001-01-01,705
Sabah,2002-01-01,691
Sabah,2003-01-01,732
Sabah,2004-01-01,736
Sabah,2005-01-01,740
Sabah,2006-01-01,743
Sabah,2007-01-01,772
Sabah,2008-01-01,820
Sabah,2009-01-01,877
Sabah,2010-01-01,931
Sabah,2011-01-01,989
Sabah,2012-01-01,1057
Sabah,2013-01-01,1132
Sabah,2014-01-01,1196
Sabah,2015-01-01,1229
Sabah,2016-01-01,1223
Sabah,2017-01-01,1261
Sabah,2018-01-01,1304
Sabah,2019-01-01,1374
Sabah,2020-01-01,1319
Sabah,2021-01-01,1365
Sabah,2022-01-01,1404
Sarawak,2000-01-01,453
Sarawak,2001-01-01,476
Sarawak,2002-01-01,670
Sarawak,2003-01-01,698
Sarawak,2004-01-01,752
Sarawak,2005-01-01,748
Sarawak,2006-01-01,748
